Frame,track_id,Categorie,Objet,Confiance,Confiance_lissee,Position_X_px,X_m,Y_m,vx_mps,vy_mps,speed_mps,d_m,lateral_m,ttc_s,d_frein_m,margin_m
2,1,Véhicule,car,0.8702939748764038,0.8702939748764038,470.96441650390625,0.31930437870023537,5.430242800990153,-0.0002312408256463212,0.043794334540962515,0.04379494503027933,5.439622428437707,0.31930437870023537,,0.04393194483100827,5.395690483606698
2,2,Véhicule,car,0.6015841364860535,0.6015841364860535,321.50018310546875,-1.8778393429887255,22.395824705330778,0.0025724328144600015,-0.12661403425783688,0.12664016377764836,22.474413114250186,-1.8778393429887255,177.82327407613258,0.1275271922084991,22.346885922041686
3,1,Véhicule,car,0.8666144609451294,0.8691901206970214,471.4915771484375,0.31858938449596563,5.465747675433763,-0.0022437733113026587,0.14068536225045372,0.14070325394323296,5.475024826192398,0.31858938449596563,,0.14211735434824824,5.33290747184415
3,2,Véhicule,car,0.6204833388328552,0.6072538971900939,320.4715576171875,-1.8821843287759685,22.338107860541914,-0.010032660912528486,-0.27889504744745963,0.2790754410113985,22.417263005030172,-1.8821843287759685,80.90890984470909,0.2825512463153371,22.134711758714836
4,1,Véhicule,car,0.8384759426116943,0.8599758672714232,473.10797119140625,0.31864408565568997,5.55758992542813,-0.0016113593226378929,0.5679034756922243,0.5679057617089084,5.566717150398752,0.31864408565568997,,0.5909426870076352,4.975774463391117
4,2,Véhicule,car,0.6106056571006775,0.6082594251632689,320.3631591796875,-1.889360382342405,22.319464283804052,-0.043569005193608026,-0.324967397437688,0.32787507927713094,22.399289465748012,-1.889360382342405,69.96841652058058,0.327454717774926,22.071834747973085
5,1,Véhicule,car,0.8309040665626526,0.8512543270587919,473.67919921875,0.31784800796734086,5.640788349881486,-0.0060703356861178375,0.9544316561269262,0.9544509600773259,5.649736326973809,0.31784800796734086,,1.019520719733935,4.630215607239874
5,2,Véhicule,car,0.5460325479507446,0.5895913619995117,319.8043212890625,-1.9001099179738496,22.309962915455095,-0.09943984186265031,-0.3173595179025397,0.33257382000542574,22.390731631399724,-1.9001099179738496,72.7500620458677,0.314542270064242,22.076189361335484
6,1,Véhicule,car,0.8500807881355286,0.8509022653818128,474.13177490234375,0.31742426566917786,5.738309091889127,-0.007453407337123405,1.363867081059009,1.3638874469974986,5.747081815886479,0.31742426566917786,,1.4967580875744526,4.2503237283120265
6,2,Véhicule,car,0.5479168891906738,0.5770890201568604,318.729736328125,-1.910784332467132,22.293872757144488,-0.1452915108886395,-0.3519924436573125,0.38079955820372213,22.37560857891805,-1.910784332467132,66.14144566791866,0.34647410439070325,22.029134474527346
7,1,Véhicule,car,0.860622227191925,0.8538182539248464,475.0211181640625,0.3165923419830325,5.871522629804449,-0.01093715790156125,1.888085322982529,1.8881170006874586,5.880051760257563,0.3165923419830325,,2.1427588441363876,3.737292916121175
7,2,Véhicule,car,0.6311617493629456,0.5933108389186859,316.3692626953125,-1.9216757058081149,22.274715120615273,-0.1814835300411677,-0.39662235267365165,0.43617148269526507,22.357454488891616,-1.9216757058081149,58.904290984655965,0.3898457928179233,21.967608696073693
7,3,Usager Vulnérable,person,0.7031372785568237,0.7031372785568237,259.91729736328125,-3.520390592429831,50.13108775644345,0.0007016981198279428,-0.01669998004666735,0.016714715486973078,50.25454317340376,-3.520390592429831,3007.793478046504,0.016734671323673823,50.237808502080085
8,1,Véhicule,car,0.864366888999939,0.8569828444473742,476.60540771484375,0.3148177874919765,5.9619580859695445,-0.018746187240365544,2.0422029493823164,2.042288986897271,5.9702641866318595,0.3148177874919765,,2.3402135801831196,3.63005060644874
8,2,Véhicule,car,0.6515818238258362,0.6107921343908309,312.161865234375,-1.9366437524021365,22.267928955573623,-0.23099993611492442,-0.36146933902804257,0.4289767517505688,22.351985347932573,-1.9366437524021365,65.72267869914646,0.3483572513577755,22.003628096574797
9,1,Véhicule,car,0.8809133172035217,0.8641619862742183,478.56658935546875,0.3132907119722186,6.05222246272983,-0.023345829727121344,2.156911794707905,2.157038135480159,6.060325718027009,0.3132907119722186,,2.489381958188425,3.5709437598385843
9,2,Véhicule,car,0.7737360596656799,0.6596753119732855,310.6365051269531,-1.9503419695103703,22.225551810684184,-0.26168617694354795,-0.5158219994098292,0.57840469420509,22.310961142170466,-1.9503419695103703,45.44245643043581,0.5081898113190879,21.802771330851378
9,4,Véhicule,car,0.5563172698020935,0.5563172698020935,426.00262451171875,-1.375695207011191,23.265776489355236,-0.0036168812674220213,-0.018160468283415717,0.01851713904402018,23.306413129334775,-1.375695207011191,1300.9213983728685,0.018541630789618433,23.287871498545158
10,1,Véhicule,car,0.8759629130363464,0.8677022643028567,480.955810546875,0.3121544167135234,6.135499946664611,-0.025033387574938868,2.2118332468808544,2.211974905486267,6.143435518941759,0.3121544167135234,,2.5614629756649085,3.5819725432768506
10,2,Véhicule,car,0.7569710612297058,0.6888640367502116,310.40032958984375,-1.9635548675261254,22.200295005199482,-0.2828171978776355,-0.5538088627608714,0.6218438902874638,22.28696134594554,-1.9635548675261254,42.31127147395428,0.5465562393881709,21.74040510655737
10,4,Véhicule,car,0.5738739371299744,0.5615842700004577,425.6235656738281,-1.3778709002690603,23.255409392978812,-0.009466251978321289,-0.04594517701383348,0.04691022508312622,23.29619269865476,-1.3778709002690603,514.2096314799114,0.04706740859865119,23.24912529005611
11,1,Véhicule,car,0.8746891021728516,0.8697983156638551,483.08856201171875,0.3113692958142126,6.192904916967607,-0.024843599049632348,2.143940738053997,2.1440846747974427,6.200727549971648,0.3113692958142126,,2.4724488957046753,3.728278654266973
11,2,Véhicule,car,0.7517483234405518,0.7077293227573136,308.186767578125,-1.9744733506444638,22.151062451924247,-0.289426074309564,-0.6857594878086353,0.7443342848544645,22.23888739936091,-1.9744733506444638,33.83087909011332,0.688220072330848,21.550667327030062
11,4,Véhicule,car,0.5522124767303467,0.5587727320194243,425.84393310546875,-1.3785732357019593,23.2441759093186,-0.011370790067955671,-0.09353285765430205,0.09422149610226666,23.285020461007562,-1.3785732357019593,251.19879214978866,0.09330933889778582,23.191711122109776
